song_id;song;track;writers;length;year;album
49;august;8;jack_antonoff;4:21;2020;folklore
50;this_is_me_trying;9;taylor_swift;3:15;2020;folklore
50;this_is_me_trying;9;jack_antonoff;3:15;2020;folklore
51;illicit_affairs;10;taylor_swift;3:10;2020;folklore
51;illicit_affairs;10;jack_antonoff;3:10;2020;folklore
52;invisible_string;11;taylor_swift;4:12;2020;folklore
52;invisible_string;11;aaron_dessner;4:12;2020;folklore
53;mad_woman;12;taylor_swift;3:57;2020;folklore
53;mad_woman;12;aaron_dessner;3:57;2020;folklore
54;epiphany;13;taylor_swift;4:49;2020;folklore
54;epiphany;13;aaron_dessner;4:49;2020;folklore
55;betty;14;taylor_swift;4:54;2020;folklore
55;betty;14;william_bowery;4:54;2020;folklore
56;peace;15;taylor_swift;3:54;2020;folklore
56;peace;15;aaron_dessner;3:54;2020;folklore
57;hoax;16;taylor_swift;3:40;2020;folklore
57;hoax;16;aaron_dessner;3:40;2020;folklore
58;i_forgot_that_you_existed;1;taylor_swift;2:51;2019;lover
58;i_forgot_that_you_existed;1;louis_bell;2:51;2019;lover
58;i_forgot_that_you_existed;1;adam_king_feeney;2:51;2019;lover
59;cruel_summer;2;taylor_swift;2:58;2019;lover
59;cruel_summer;2;jack_antonoff;2:58;2019;lover
59;cruel_summer;2;annie_clark;2:58;2019;lover
60;lover;3;taylor_swift;3:41;2019;lover
61;the_man;4;taylor_swift;3:10;2019;lover
61;the_man;4;joel_little;3:10;2019;lover
62;the_archer;5;taylor_swift;3:31;2019;lover
62;the_archer;5;jack_antonoff;3:31;2019;lover
63;i_think_he_knows;6;taylor_swift;2:53;2019;lover
63;i_think_he_knows;6;jack_antonoff;2:53;2019;lover
64;miss_americana_the_heartbreak_prince;7;taylor_swift;3:54;2019;lover
64;miss_americana_the_heartbreak_prince;7;joel_little;3:54;2019;lover
65;paper_rings;8;taylor_swift;3:42;2019;lover
65;paper_rings;8;jack_antonoff;3:42;2019;lover
66;cornelia_street;9;taylor_swift;4:47;2019;lover
67;death_by_a_thousand_cuts;10;taylor_swift;3:19;2019;lover
67;death_by_a_thousand_cuts;10;jack_antonoff;3:19;2019;lover
68;london_boy;11;taylor_swift;3:10;2019;lover
68;london_boy;11;jack_antonoff;3:10;2019;lover
68;london_boy;11;cautious_clay;3:10;2019;lover
68;london_boy;11;mark_anthony_spears;3:10;2019;lover
69;soon_you_ll_get_better;12;taylor_swift;3:22;2019;lover
69;soon_you_ll_get_better;12;jack_antonoff;3:22;2019;lover
70;false_god;13;taylor_swift;3:20;2019;lover
70;false_god;13;jack_antonoff;3:20;2019;lover
71;you_need_to_calm_down;14;taylor_swift;2:51;2019;lover
