neutral,surprise,joy,sadness,anger,fear,disgust,song_id,song,album
0.3938031792640686,0.21940109133720398,0.20563317835330963,0.151697039604187,0.017000319436192513,0.007376226130872965,0.005088986363261938,1,01_welcome_to_new_york,1989
0.04197815153747797,0.02783246012404561,0.06078685121610761,0.005399920046329498,0.02885996364057064,0.8214047849178314,0.01373788621276617,2,02_blank_space,1989
0.44044843316078186,0.11625218391418457,0.06840261071920395,0.07160787284374237,0.1934203952550888,0.07974239438772202,0.030126072466373444,3,03_style,1989
0.21067335456609726,0.693457692861557,0.024394406005740166,0.02471610065549612,0.023750164546072483,0.016824988182634115,0.0061832761857658625,4,04_out_of_the_woods,1989
0.48184818774461746,0.058689774945378304,0.18731260299682617,0.05024545080959797,0.15428177267313004,0.019173768814653158,0.048448471352458,5,05_all_you_had_to_do_was_stay,1989
0.0035424677189439535,0.0029129860922694206,0.0019885505898855627,0.0018763820407912135,0.003445058944635093,0.9846950769424438,0.0015395258087664843,6,06_shake_it_off,1989
0.05930366367101669,0.07552959024906158,0.04173179343342781,0.6756330728530884,0.12703697755932808,0.017406843602657318,0.0033580680610612035,7,07_i_wish_you_would,1989
0.0678254310041666,0.05901444889605045,0.025104832835495472,0.3676687926054001,0.3012188524007797,0.020461076870560646,0.15870654210448265,8,08_bad_blood,1989
0.40352028608322144,0.089610755443573,0.26730990409851074,0.061918724328279495,0.0821933001279831,0.06344816833734512,0.031998828053474426,9,09_wildest_dreams,1989
0.22042864421382546,0.03570391912944615,0.03780786378774792,0.03685393091291189,0.059201438911259174,0.5610489845275879,0.04895521095022559,10,10_how_you_get_the_girl,1989
0.06988007202744484,0.17384957522153854,0.16345067508518696,0.2248368188738823,0.060972138307988644,0.2813207805156708,0.025689921341836452,11,11_this_love,1989
0.0461549237370491,0.015764394775032997,0.007412546779960394,0.030687129124999046,0.41180792450904846,0.42483097314834595,0.06334216892719269,12,12_i_know_places,1989
0.20628812909126282,0.08092298358678818,0.11263623833656311,0.15252411365509033,0.07846987247467041,0.31894272565841675,0.05021589994430542,13,13_clean,1989
0.3265026807785034,0.055532243102788925,0.17128634452819824,0.0913190096616745,0.2148238718509674,0.1133081465959549,0.027227673679590225,14,01_willow,evermore
0.1701405644416809,0.3631990849971771,0.03726790100336075,0.14077483117580414,0.1681155115365982,0.11024338752031326,0.010258685797452927,15,02_champagne_problems,evermore
0.0733264684677124,0.057978782802820206,0.6744204163551331,0.10937149077653885,0.05575976148247719,0.023128248751163483,0.0060147931799292564,16,03_gold_rush,evermore
0.47893133759498596,0.06659883260726929,0.08367696404457092,0.2709229588508606,0.06695999950170517,0.0154578797519207,0.017451971769332886,17,04_tis_the_damn_season,evermore
